id,상품명,가격,제조사,카테고리,이미지경로,상품URL,이미지해시,생성일,수정일,OCR내용
33,東洋水産 ごつ盛り 塩焼そば,179,東洋水産,インスタント麺,../crawl/images\4901990335126_東洋水産_東洋水産_ごつ盛り_塩焼そば.jpg,https://sm.rakuten.co.jp/item/4901990335126,48c81022094bbbbdc8679641bb2b8388de2813f7bab51e1ffc6fe00c4306093a,2026-02-10T06:20:13.444047+00:00,2026-02-10T06:20:13.444047+00:00,
34,東洋水産 麺之助 縦型 鴨だしそば,139,東洋水産,インスタント麺,../crawl/images\4901990375290_東洋水産_東洋水産_麺之助_縦型_鴨だしそば.jpg,https://sm.rakuten.co.jp/item/4901990375290,8b6d0aa21e5920da5e8323179fe1ba8b6ebdf222173533f8ce5700b357b90155,2026-02-10T06:20:13.542528+00:00,2026-02-10T06:20:13.542528+00:00,
35,東洋水産 マルちゃん焼そば,235,東洋水産,インスタント麺,../crawl/images\4901990380393_東洋水産_東洋水産_マルちゃん焼そば.jpg,https://sm.rakuten.co.jp/item/4901990380393,db87f3d7acd8c6489157545830e89dbec10986eff147aee0c1b883e85083389b,2026-02-10T06:20:13.618401+00:00,2026-02-10T06:20:13.618401+00:00,
36,MARUCHAN QTTA しょうゆ味,239,東洋水産,インスタント麺,../crawl/images\4901990381956_東洋水産_MARUCHAN_QTTA_しょうゆ味.jpg,https://sm.rakuten.co.jp/item/4901990381956,dfaee8a913df7a5e657287fe9ce9d45c712869477e7b7ab8bf1c3e851558050d,2026-02-10T06:20:13.718150+00:00,2026-02-10T06:20:13.718150+00:00,
37,MARUCHAN QTTA トマトクリーム味,239,東洋水産,インスタント麺,../crawl/images\4901990381994_東洋水産_MARUCHAN_QTTA_トマトクリー.jpg,https://sm.rakuten.co.jp/item/4901990381994,d13a1d0c146ad61dd5e71b4a3f3cf6d758555d16d20d16ff42555d40463eaf28,2026-02-10T06:20:13.816182+00:00,2026-02-10T06:20:13.816182+00:00,
38,MARUCHAN QTTA コク味噌味,239,東洋水産,インスタント麺,../crawl/images\4901990382014_東洋水産_MARUCHAN_QTTA_コク味噌味.jpg,https://sm.rakuten.co.jp/item/4901990382014,174bba74bca65cad49c2518a7c04efd634e505566df55a9220299e19d787f488,2026-02-10T06:20:13.901952+00:00,2026-02-10T06:20:13.901952+00:00,
39,MARUCHAN QTTA シビレ麻辣湯麺,239,東洋水産,インスタント麺,../crawl/images\4901990382052_東洋水産_MARUCHAN_QTTA_シビレ麻辣湯.jpg,https://sm.rakuten.co.jp/item/4901990382052,698576f812be7a1d498c29055964b86664bfaeaf7c8c7310af530a04d2c0002d,2026-02-10T06:20:14.002776+00:00,2026-02-10T06:20:14.002776+00:00,
40,マルちゃん正麺 カップ 芳醇醤油,299,東洋水産,インスタント麺,../crawl/images\4901990382090_東洋水産_マルちゃん正麺_カップ_芳醇醤油.jpg,https://sm.rakuten.co.jp/item/4901990382090,c41d77b4bf0f83fb5fa645fdcaea6764482e62cc5122f43ce42d3b003355c8bf,2026-02-10T06:20:14.085534+00:00,2026-02-10T06:20:14.085534+00:00,
41,マルちゃん正麺 とろみあんかけ醤油ラーメン,599,東洋水産,インスタント麺,../crawl/images\4901990514422_東洋水産_マルちゃん正麺_とろみあんかけ醤油ラーメ.jpg,https://sm.rakuten.co.jp/item/4901990514422,635dd8ed13b8d2437e42fe8bc58267831f9de88b3354d9342f4cfc51afc00ba9,2026-02-10T06:20:14.189605+00:00,2026-02-10T06:20:14.189605+00:00,
42,マルちゃんZUBAAAN！ 鶏油香る鶏中華そば,459,東洋水産,インスタント麺,../crawl/images\4901990514798_東洋水産_マルちゃんZUBAAAN！_鶏油香る鶏中.jpg,https://sm.rakuten.co.jp/item/4901990514798,134bab7fb8f6d594bfec90cf958b8e471457ab9f6a44819f6ed2fb2bdc1fe95b,2026-02-10T06:20:14.291766+00:00,2026-02-10T06:20:14.291766+00:00,
43,【推しプライス】日清ラ王　塩とんこつ,349,日清食品,インスタント麺,../crawl/images\4902105116616_日清食品_【推しプライス】日清ラ王　塩とんこつ.jpg,https://sm.rakuten.co.jp/item/4902105116616,91d7402621d438a5a80ee79cb0bb1e171895fadd14ef52c72074652b088322e0,2026-02-10T06:20:14.385473+00:00,2026-02-10T06:20:14.385473+00:00,
44,0秒チキンラーメン 男梅味パウダー付,129,日清食品,インスタント麺,../crawl/images\4902105117095_日清食品_0秒チキンラーメン_男梅味パウダー付.jpg,https://sm.rakuten.co.jp/item/4902105117095,c44e2540fcbcad99f7c46ab1cd8c230e19f25881eb28280134a780b70e776404,2026-02-10T06:20:14.484580+00:00,2026-02-10T06:20:14.484580+00:00,
45,【推しプライス】日清ラ王 醤油 3食パック,349,日清食品株式会社,インスタント麺,../crawl/images\4902105117132_日清食品株式会社_【推しプライス】日清ラ王_醤油_3食パッ.jpg,https://sm.rakuten.co.jp/item/4902105117132,79f378915fd20b9bae5746d664fb7706be5547bddca53c9005d402a33c144d77,2026-02-10T06:20:14.574905+00:00,2026-02-10T06:20:14.574905+00:00,
46,魁力屋監修 背脂醤油ラーメン,409,日清食品,インスタント麺,../crawl/images\4902105117477_日清食品_魁力屋監修_背脂醤油ラーメン.jpg,https://sm.rakuten.co.jp/item/4902105117477,967886428a0958008a5a72040b557423f247fe44b0a00bcdfe7bd21ae794f7cc,2026-02-10T06:20:14.651862+00:00,2026-02-10T06:20:14.651862+00:00,
47,ブラックチキンラーメン,139,日清食品,インスタント麺,../crawl/images\4902105117507_日清食品_ブラックチキンラーメン.jpg,https://sm.rakuten.co.jp/item/4902105117507,2d989150799fe0a75e08f42a90568e304782223188ab03c8e8c814b2e526f828,2026-02-10T06:20:14.761616+00:00,2026-02-10T06:20:14.761616+00:00,
48,日清のラーメン屋さん 函館しお,379,日清食品,インスタント麺,../crawl/images\4902105117927_日清食品_日清のラーメン屋さん_函館しお.jpg,https://sm.rakuten.co.jp/item/4902105117927,19e3f30c19041d3549d69a8851e68e144e9827ac5629871ff1a68d6762ff1b6a,2026-02-10T06:20:14.856037+00:00,2026-02-10T06:20:14.856037+00:00,
